G103,G-103C Twin 3SL,L
G109,G-109,L
G115,G-115,L
G120,G-120 Snunit,L
G140,G-140TP,L
G150,Gulfstream G150,M
G159,G-159 Gulfstream 1,M
G15T,G-115T Acro,L
G160,G-160 Ranger,L
G164,G-164 Ag-Cat,L
G180,G1-80 Skyfarer,L
G200,G-200,L
G202,G-202,L
G21,G-21A Goose,L
G21M,Goose,L
G21T,Turbo Goose,L
G222,G-222,M
G2CA,G-2 Cabri,L
G2GL,G-2 Galeb,L
G2T1,2T-1 Sport,L
G3,G-3 Mirage,L
G300,G-300,L
G44,G-44 Widgeon,L
G46,G-46,L
G4SG,G-4 Super Galeb,L
G59,G-59,L
G64T,G-164 Turbo Ag-Cat,L
G73,G-73 Mallard,L
G73T,G-73T Turbo Mallard,L
G800,Orion,L
G850,G-850 Strato 2C,M
G96,G-96 Trader,M
G97,G-97 Spotter,L
GA20,GA-200 Fatman,L
GA7,GA-7 Cougar,L
GA8,GA-8 Airvan,L
GALX,1126 Gulfstream G200,M
GANT,Gannet,M
GAUN,Gauntlet,L
GAVI,EL-1 Gavilan 358,L
GAZL,Gazelle,L
GBSP,GB Special,L
GC1,GC-1 Swift,L
GEMI,M-65 Gemini,L
GF20,GF-200,L
GFLY,311 Global Flyer,M
GL5T,BD-700 Global 5000,M
GLAD,Gladiator,L
GLAS,Glasair,L
GLEX,BD-700 Global Express,M
GLF2,Gulfstream 2,M
GLF3,Gulfstream 3,M
GLF4,G-4 Gulfstream 4,M
GLF5,G-5 Gulfstream 5,M
GLID,Glider,-
GLSP,Sportsman 2+2,L
GLST,GlaStar,L
GLTU,Turbine Glasair,L
GM01,GM-01 Gniady,L
GM17,GM-17 Viper,L
GNAT,Fo-144 Gnat,L
GOBU,Golden Butterfly,L
GOLF,P-96 Golf,L
GOOS,Glass Goose,L
GOTR,GT-1 Trainer,L
GP3,GP-3 Osprey 2,L
GP4,GP-4,L
GR51,P-51G Grand 51,L
GRAF,Graflite,L
GRFN,Griffon,L
GRIF,Griffin,L
GSIS,Genesis,L
GSPN,G-180 SPn Utility Jet,L
GUEP,Guepard,L
GURI,AMT-600 Guri,L
GX,GX,L
GY10,GY-100 Bagheera,L
GY20,GY-20 Minicab,L
GY30,GY-30 Supercab,L
GY80,GY-80 Horizon,L
GYRO,Ultralight autogyro,-
H111,He-111,M
H12T,UH-12ET,L
H2,Seaprite,L
H202,HB-202 Fledger,L
H204,HB-204 Tornado,L
H207,HB-207 Alfa,L
H21,CH-21 Work horse,L
H25A,HS-125-1,M
H25B,Hawker 750,M
H25C,Hawker 1000,M
H269,269,L
H40,H-40,L
H43A,H-43A,L
H43B,HH-43B Huskie,L
H46,CH-46 Sea Knight,M
H47,CH-47 Chinook,M
H500,500,L
H53,CH-53A Sea Stallion,M
H53S,CH-53E Super Stallion,M
H60,UH-60 Black Hawk,M
H64,AH-64 Longbow Apache,M
HA2,HA-2 Sportster,L
HA31,HA-31 Basant,L
